file,type_id,type_name,reference,hypothesis,wer,cer
1,1,Type1_Clear_Neutral,I feel stressed about managing my daily responsibilities.,I feel stressed about managing my daily responsibilities.,0.0,0.0
2,1,Type1_Clear_Neutral,I feel overwhelmed by everything I need to do lately.,I feel overwhelmed by everything I need to do lately.,0.0,0.0
3,1,Type1_Clear_Neutral,I have trouble relaxing even when I have free time.,"I have rubble, relaxing even when I have free time.",0.1,0.06
4,1,Type1_Clear_Neutral,I feel like my schedule is always too full.,I feel like my schedule is always too full,0.0,0.0
5,1,Type1_Clear_Neutral,I often feel mentally exhausted at the end of the day.,I often feel mentally exhausted at the end of the day.,0.0,0.0
6,1,Type1_Clear_Neutral,I feel like I am always rushing and never catching up.,I feel like I am always rushing and never catching up.,0.0,0.0
7,1,Type1_Clear_Neutral,I get stressed when things do not go as planned.,I get stressed when things do not go as planned.,0.0,0.0
8,1,Type1_Clear_Neutral,I feel pressure to be productive all the time.,I feel pressure to be productive all the time.,0.0,0.0
9,1,Type1_Clear_Neutral,I feel like I cannot take a proper break.,I feel like I cannot take a proper break.,0.0,0.0
10,1,Type1_Clear_Neutral,I feel drained even after doing simple tasks.,I feel drained even after doing simple tasks.,0.0,0.0
11,2,Type2_Fast_Speech,I feel nervous when talking to new people.,I feel nervous when talking to new people.,0.0,0.0
12,2,Type2_Fast_Speech,I worry that others might judge me.,Or would that others may judge me?,0.4286,0.2647
13,2,Type2_Fast_Speech,I feel awkward in social situations.,I feel awkward in social situations.,0.0,0.0
14,2,Type2_Fast_Speech,I feel like I do not fit in with others.,I feel like I do not fit in with others.,0.0,0.0
15,2,Type2_Fast_Speech,I feel left out when my friends hang out without me.,"I feel left out, boy, my friend's handle would stop me.",0.3636,0.2941
16,2,Type2_Fast_Speech,I find it hard to express my feelings to others.,I need hard to express my feelings to our roots.,0.4,0.2553
17,2,Type2_Fast_Speech,I feel like people misunderstand me.,I feel like people misunderstand me.,0.0,0.0
18,2,Type2_Fast_Speech,I overthink my conversations after they happen.,I also think my conversation is often going to happen.,1.0,0.3696
19,2,Type2_Fast_Speech,I feel anxious before meeting people.,I've got to go ahead and just before meeting people.,1.1667,0.5556
20,2,Type2_Fast_Speech,I feel like I am not interesting to others.,I feel like I'm not interested in you others.,0.5556,0.1905
21,3,Type3_Background_Noise,I feel like I am not good enough.,I feel like I'm not good enough.,0.25,0.0625
22,3,Type3_Background_Noise,I keep doubting my own abilities.,I kept doubting my own abilities.,0.1667,0.0625
23,3,Type3_Background_Noise,I feel like I am always behind others.,I feel like I am always behind others.,0.0,0.0
24,3,Type3_Background_Noise,I feel disappointed in myself.,I feel disappointed in myself.,0.0,0.0
25,3,Type3_Background_Noise,I struggle to see my own strengths.,I struck you to see my own strings.,0.4286,0.2647
26,3,Type3_Background_Noise,I feel like I do not deserve success.,I feel like I do not deserve success.,0.0,0.0
27,3,Type3_Background_Noise,I often blame myself when things go wrong.,I often blame myself when things go wrong.,0.0,0.0
28,3,Type3_Background_Noise,I feel like I cannot do anything right.,I feel like I cannot do anything right.,0.0,0.0
29,3,Type3_Background_Noise,I feel insecure about who I am.,I feel insecure about who I am.,0.0,0.0
